NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1s,Year,MONEY,COUNTRY
Doug LaBelle II,65,71.105,281.6,68.06,64.66,0.407,-0.697,-0.29,1102,1,0,2008,338132,USA
Dudley Hart,74,70.587,275.5,61.18,66.11,0.652,-0.119,0.532,18620,6,0,2008,2218817,USA
Dustin Johnson,92,71.223,309.7,53.05,63.71,-0.319,0.038,-0.28,2679,3,1,2008,1789895,USA
Eric Axley,113,71.316,287.7,56.39,61.16,0.605,-0.989,-0.384,10218,3,0,2008,899215,USA
Ernie Els,51,69.898,291.6,56.88,61.33,-0.509,1.12,0.611,18723,5,1,2008,2537290,RSA
Frank Lickliter II,107,71.263,284.1,64.99,63.97,-0.018,-0.289,-0.307,6192,0,0,2008,548113,USA
Fred Couples,60,70.758,299.6,57.49,65.46,0.043,0.718,0.762,3837,3,0,2008,949281,USA
Freddie Jacobson,78,70.3,282.7,59.95,61.82,0.455,0.134,0.589,11166,3,0,2008,1597423,SWE
Gavin Coles,54,70.744,271.5,71.99,67.15,0.217,0.111,0.328,1699,1,0,2008,455003,AUS
Geoff Ogilvy,65,70.253,292.1,58.18,61.89,0.125,0.684,0.81,15304,6,1,2008,2880099,AUS
George McNeill,97,70.785,295,59.42,68.44,-0.076,0.463,0.387,5693,3,0,2008,1361532,USA
Glen Day,64,70.623,274.9,69.02,64.37,0.051,0.293,0.344,4123,1,0,2008,435263,USA
Greg Kraft,63,71.265,273.6,68.71,59.49,0.501,-0.815,-0.314,3319,3,1,2008,1204559,USA
Harrison Frazar,73,71.606,299.9,60.11,70.34,-0.912,0.368,-0.545,1043,1,0,2008,444059,USA
Heath Slocum,104,70.638,279.9,73.95,66.77,-0.442,0.719,0.277,10429,5,0,2008,1491916,USA
Hunter Mahan,87,70.171,289.9,66.02,69.61,0.341,0.665,1.006,18312,5,0,2008,2208855,USA
Ian Poulter,51,70.269,283.6,59.77,59.75,0.518,-0.138,0.38,5073,1,0,2008,1488214,ENG
J.B. Holmes,86,70.596,310.3,52.4,62.94,-0.05,0.574,0.524,12500,3,1,2008,2166131,USA
J.J. Henry,108,70.978,291.7,65.6,69.19,0.089,0.009,0.098,6485,2,0,2008,931162,USA
J.P. Hayes,67,71.875,284.2,63.24,61.03,-0.062,-0.826,-0.889,1275,1,0,2008,312152,USA
James Driscoll,85,71.6,295,53.51,65.05,0.215,-0.453,-0.238,2457,1,0,2008,708549,USA
Jason Allred,63,72.357,298.6,55.05,62.67,-0.357,-0.78,-1.137,286,0,0,2008,100596,USA
Jason Day,81,71.176,297.4,60.39,65.5,0.214,-0.297,-0.083,6726,2,0,2008,767393,AUS
Jason Gore,94,71.174,299.7,67.71,67.02,0.004,0.06,0.064,2258,3,0,2008,779664,USA
Jay Williamson,96,71.363,284.4,69.73,66.73,-0.466,0.108,-0.358,9974,1,0,2008,758862,USA
Jeff Gove,50,71.457,286.4,72.43,67.87,-0.555,0.413,-0.142,1308,1,0,2008,290410,USA
Jeff Maggert,86,71.218,285.9,66.89,66.34,-0.177,-0.082,-0.26,1287,0,0,2008,444484,USA
Jeff Overton,103,70.954,297.6,54.31,64.14,0.189,0.058,0.247,6050,3,0,2008,890489,USA
Jeff Quinney,87,70.788,272.5,61.98,61.81,0.654,-0.239,0.415,7329,3,0,2008,1999371,USA
Jerry Kelly,89,70.941,277,66.21,63.36,0.045,0.155,0.2,11185,4,0,2008,1652400,USA
Jesper Parnevik,88,70.923,287.6,60.85,60.85,0.561,-0.381,0.18,6472,0,0,2008,635819,SWE
Jim Furyk,95,69.694,280.4,69.37,66.78,0.405,0.881,1.287,24868,9,0,2008,3455714,USA
Jim McGovern,75,71.66,280,63.65,65.46,-0.369,-0.586,-0.955,488,0,0,2008,136088,USA
Jimmy Walker,73,71.421,295.4,52.82,63.08,0.08,-0.556,-0.476,703,0,0,2008,282249,USA
Jin Park,85,71.926,274.4,68.79,62.84,0.014,-0.866,-0.852,1047,0,0,2008,227102,KOR
Joe Durant,92,71.267,286.5,73.05,71.1,-0.978,0.665,-0.314,2264,2,0,2008,802568,USA
Joe Ogilvie,100,70.865,287.7,65.2,64.12,0.446,-0.289,0.157,3094,4,0,2008,1035831,USA
John Huston,56,70.807,291.5,65.88,70.3,0.189,0.457,0.646,1488,1,0,2008,496876,USA
John Mallinger,95,70.479,279,69.39,60.82,0.312,0.064,0.376,10136,4,0,2008,1201433,USA
John Merrick,98,70.546,299,65.23,67.72,-0.418,0.399,-0.019,11344,4,0,2008,1312005,USA
John Riegger,73,71.16,290.1,69.09,69.49,-0.423,0.409,-0.014,993,0,0,2008,289501,USA
John Rollins,94,71.057,288.9,67.94,63.48,0.105,0.199,0.303,6274,2,0,2008,1016032,USA
John Senden,93,70.424,288.8,68.2,69.08,-0.313,0.899,0.586,11731,3,0,2008,1269083,AUS
Johnson Wagner,83,71.153,283.2,61.02,61.6,0.141,-0.163,-0.022,10446,1,1,2008,1431001,USA
Jon Mills,95,71.552,293.2,58.38,65.71,-0.287,-0.269,-0.556,1964,0,0,2008,489510,CAN
Jonathan Byrd,88,71.028,285.3,67.31,63.01,0.006,0.281,0.287,10500,2,0,2008,1039584,USA
Justin Bolli,87,72.11,284.1,65.74,66.88,-0.372,-0.456,-0.828,5979,1,0,2008,458022,USA
Justin Leonard,101,69.772,281.4,67.72,66.61,0.463,0.675,1.138,25997,8,1,2008,3943542,USA
K.J. Choi,74,70.259,286.1,61.38,65.48,0.491,0.394,0.885,21889,5,1,2008,2683442,KOR
Ken Duke,116,70.38,284.9,62.27,64.8,0.467,0.13,0.597,16886,5,0,2008,2238885,USA
Kenneth Ferrie,72,71.708,284.8,68.13,64.84,-0.174,-0.507,-0.681,1000,0,0,2008,288772,ENG
Kenny Perry,97,69.826,296,61.97,67.47,0.082,0.995,1.076,29468,7,3,2008,4663794,USA
Kent Jones,68,71.32,282.9,71.81,69.71,-0.042,0.069,0.027,957,0,0,2008,304432,USA
Kevin Na,97,70.817,280.9,67.8,63.57,0.005,0.356,0.361,6336,3,0,2008,1041059,USA
Kevin Stadler,90,71.255,291.2,62.01,65.11,-0.255,-0.092,-0.347,1622,1,0,2008,598945,USA
Kevin Streelman,114,70.615,292.8,62.21,67.44,-0.081,0.427,0.346,12048,4,0,2008,1352705,USA
Kevin Sutherland,98,70.067,291,61.93,68.2,0.343,0.75,1.092,19242,6,0,2008,2581311,USA
Kyle Thompson,70,72.57,285.7,62.44,62.41,-0.33,-1.197,-1.527,461,0,0,2008,154447,USA
Lee Janzen,89,71.429,283.9,62.91,64.39,0.094,-0.384,-0.291,3846,1,0,2008,500155,USA
Lucas Glover,91,70.544,298.4,61.54,65.38,-0.104,0.535,0.431,10781,2,0,2008,998491,USA
Marc Turnesa,87,71.165,285.1,65.31,63.45,0.789,-0.606,0.183,1174,2,1,2008,1329920,USA
Marco Dawson,64,71.29,286.1,60.1,60.91,-0.042,-0.365,-0.407,1622,2,0,2008,439964,USA
Mark Calcavecchia,67,71.285,283.1,65.44,64.39,-0.53,0.597,0.067,3304,2,0,2008,784810,USA
Mark Hensby,71,72.032,289.4,58.32,64.08,0.022,-0.542,-0.52,1261,1,0,2008,480483,AUS
Mark Wilson,107,70.366,284.6,70.73,66.93,0.455,0.156,0.61,10913,5,0,2008,1578337,USA
Martin Laird,98,71.115,296.6,62.25,67.03,0.019,0.166,0.185,9986,3,0,2008,852752,SCO
Mathew Goggin,91,70.391,295.9,64.91,67.58,0.122,0.704,0.826,10734,5,0,2008,1969962,AUS
Mathias Grönberg,87,71.644,295.2,62.77,62.78,-0.031,-0.443,-0.475,715,0,0,2008,245281,SWE
Matt Jones,95,71.265,293.9,54.5,62.15,0.031,-0.363,-0.332,3273,2,0,2008,775899,AUS
Matt Kuchar,88,70.5,275,65.53,63.89,0.175,0.379,0.554,4084,5,0,2008,1447638,USA
Michael Allen,91,70.864,286.8,69.45,66.67,-0.002,0.455,0.454,6583,3,0,2008,981263,USA
Michael Letzig,88,70.792,291.1,64.44,63.29,-0.082,0.467,0.385,3879,5,0,2008,1166977,USA
Mike Weir,88,70.144,284.8,62.46,64.62,0.169,0.758,0.926,23033,8,0,2008,3020135,CAN
Nathan Green,95,71.133,283.7,59.5,59.82,0.539,-0.544,-0.006,3698,1,0,2008,912867,AUS
Nicholas Thompson,113,71.039,295.4,66.85,63.14,-0.413,0.295,-0.118,11302,6,0,2008,1869329,USA
Nick Flanagan,89,71.789,291.8,62.66,63.99,-0.291,-0.505,-0.796,1316,1,0,2008,379036,AUS
Nick O'Hern,82,70.283,274.9,72.27,64.38,0.348,0.536,0.884,6671,4,0,2008,1370771,AUS
Nick Watney,96,70.789,302.9,61.21,68.23,-0.066,0.518,0.452,5144,1,0,2008,878173,USA
Olin Browne,77,71.584,272.1,80.42,65.63,-0.422,-0.386,-0.807,515,0,0,2008,167029,USA
Omar Uresti,74,71.266,274.9,74.85,65.16,-0.52,0.416,-0.104,1154,0,0,2008,346285,USA
Padraig Harrington,52,69.277,296.3,59.37,60.67,-0.054,0.959,0.905,17668,6,2,2008,4313551,IRL
Parker McLachlin,88,70.752,286.2,58.84,62.5,0.445,-0.084,0.361,5502,3,1,2008,1311839,USA
Pat Perez,93,70.08,294.2,63.27,66.91,0.208,0.856,1.064,7611,6,0,2008,1756038,USA
Patrick Sheehan,124,70.891,284.1,66.48,64.8,0.395,-0.375,0.02,4936,2,0,2008,805897,USA
Paul Casey,55,70.308,299.2,62.43,65.71,-0.299,0.595,0.296,7259,4,0,2008,1156414,ENG
Paul Claxton,63,72.1,275.4,70.96,65.01,-0.082,-0.972,-1.054,420,0,0,2008,116678,USA
Paul Goydos,78,71.201,273.2,70.85,62.96,0.014,-0.195,-0.181,6665,3,0,2008,1640737,USA
Peter Lonard,92,70.776,281.6,65.91,64.9,-0.027,0.141,0.114,7343,3,0,2008,1462894,AUS
Phil Mickelson,80,69.167,295.7,55.27,65.81,0.214,1.604,1.818,31192,8,2,2008,5188875,USA
Retief Goosen,59,70.272,287.1,56.79,59.39,-0.121,0.476,0.355,5372,2,0,2008,1431965,RSA
Rich Beem,90,71.23,287.7,66.93,66.48,-0.169,0.235,0.066,4945,1,0,2008,730001,USA
Richard Johnson,77,71.908,282.2,53.74,58.44,0.383,-1.124,-0.624,544,1,1,2008,200210,SWE
Robert Allenby,108,69.728,291.7,65.64,70.4,-0.139,1.546,1.407,20205,9,0,2008,3606700,AUS
Robert Gamez,79,71.609,281.6,73.36,66.02,-0.904,0.122,-0.783,749,0,0,2008,249944,USA
Robert Garrigus,90,70.898,311,56.23,68.02,-0.149,0.359,0.21,1468,2,0,2008,756732,USA
Rocco Mediate,87,70.778,278.6,64.66,62.58,-0.264,0.287,0.023,7251,2,0,2008,1420875,USA
Rod Pampling,83,70.812,288,65.65,63.61,-0.305,0.53,0.225,6856,5,0,2008,1702952,AUS
Ron Whittaker,54,71.918,276.7,72.07,65.51,-0.272,-0.475,-0.747,140,0,0,2008,59977,USA
Rory Sabbatini,77,70.626,292,61.99,66.08,-0.119,0.524,0.405,10035,3,0,2008,1559277,RSA
Ryan Armour,87,71.807,286.4,69.88,65.6,0.02,-0.799,-0.78,1427,0,0,2008,354508,USA
Ryan Moore,72,71.249,292.7,65.74,61.73,0.21,-0.271,-0.061,6651,3,0,2008,1214900,USA
Ryan Palmer,69,70.616,294.2,62.94,66.75,0.43,0.28,0.709,6381,3,1,2008,1453183,USA
Ryuji Imada,80,70.557,278.6,59.64,61.39,0.469,0.175,0.644,18856,5,1,2008,3029363,JPN
Scott McCarron,63,71.309,283.1,69.2,64.81,0.177,-0.261,-0.084,6538,2,0,2008,952070,USA
Scott Sterling,89,71.07,284.1,66,67.87,-0.102,0.086,-0.016,1467,2,0,2008,624822,USA
Scott Verplank,82,70.396,278.6,73.57,65.09,-0.281,0.901,0.619,10779,3,0,2008,1359620,USA
Sean O'Hair,81,70.323,291.1,60.44,64.47,-0.214,0.624,0.411,9029,3,1,2008,2089857,USA
Sergio Garcia,72,69.117,294.6,59.39,67.06,-0.077,1.625,1.548,31726,6,1,2008,4858224,ESP
Shane Bertsch,96,70.749,274.3,70.54,64.06,0.137,-0.016,0.121,3153,1,0,2008,841248,USA
Shigeki Maruyama,50,71.455,274,57.14,60,0.214,-0.513,-0.299,721,0,0,2008,160175,JPN
Stephen Ames,83,69.988,283.8,62.72,65.04,0.303,0.736,1.039,12853,7,0,2008,2285707,CAN
Stephen Leaney,53,71.889,272.7,66.91,62.02,0.304,-0.812,-0.508,678,0,0,2008,157963,AUS
Steve Allan,58,71.46,303.2,58.25,66.44,0.164,-0.939,-0.776,595,4,0,2008,743970,AUS
Steve Elkington,84,70.447,282,70.43,67,0.415,0.263,0.678,6744,3,0,2008,1291114,AUS
Steve Flesch,95,70.975,281.9,60.98,64.62,-0.097,0.09,-0.007,6821,2,0,2008,1265059,USA
Steve Lowery,74,71.558,287,59.92,59.38,0.096,-0.603,-0.508,6164,2,1,2008,1524275,USA
Steve Marino,119,70.071,293.5,63.84,68.36,0.155,0.611,0.767,12160,6,0,2008,2094267,USA
Steve Stricker,75,69.976,283.6,56.25,63.81,0.411,0.497,0.908,19163,6,0,2008,2438304,USA
Stewart Cink,87,70.019,296.9,55.27,66.94,0.521,0.604,1.125,23908,7,1,2008,3979301,USA
Stuart Appleby,87,69.726,290.9,58.19,61.9,0.427,0.648,1.075,18977,7,0,2008,2484630,AUS
Tag Ridings,88,71.316,303,58.08,63.95,-0.04,-0.061,-0.101,1679,2,0,2008,568494,USA
Ted Purdy,68,71.614,292.8,61.14,66.85,-0.558,-0.032,-0.59,962,1,0,2008,248207,USA
Tim Clark,90,70.311,281.1,64.98,63.61,0.076,0.565,0.641,15649,3,0,2008,1722030,RSA
Tim Herron,97,70.579,293,61.1,62.25,0.407,-0.083,0.324,10663,3,0,2008,1164999,USA
Tim Petrovic,97,70.987,284,66.53,63.17,0.156,-0.078,0.077,6790,3,0,2008,958577,USA
Tim Wilkinson,95,70.997,279.8,66.72,65.39,0.174,0.06,0.234,3086,3,0,2008,1167607,NZL
Todd Demsey,80,71.615,292.9,65.38,65.31,-0.032,-0.524,-0.556,551,0,0,2008,217417,USA
Todd Hamilton,92,71.077,284,66.87,62.98,0.309,-0.187,0.123,1648,0,0,2008,537958,USA
Tom Lehman,51,70.791,282,64.53,62.13,-0.19,0.643,0.453,2420,2,0,2008,676651,USA
Tom Pernice Jr.,104,70.298,280.6,63.99,64.1,0.248,0.309,0.557,7069,6,0,2008,1336277,USA
Tom Scherrer,56,71.985,287.7,63.36,65.78,-0.077,-0.639,-0.716,267,1,0,2008,288391,USA
Tommy Armour III,77,70.856,287.7,63.35,66.51,0.018,-0.142,-0.124,10382,5,0,2008,1501256,USA
Tommy Gainey,60,72.033,298.3,59.53,67.09,-0.919,-0.482,-1.401,119,1,0,2008,562205,USA
Trevor Immelman,70,70.519,291.3,62.45,63.07,-0.675,0.67,-0.006,18861,3,1,2008,2566199,RSA
Troy Matteson,94,71.29,295.2,61.36,67.38,-0.152,0.085,-0.067,3524,5,0,2008,1212018,USA
Vaughn Taylor,103,70.668,288,62.4,65.48,0.303,-0.009,0.294,2901,2,0,2008,1053423,USA
Vijay Singh,82,69.58,297.8,59.45,68.45,-0.407,1.875,1.467,41635,8,3,2008,6601094,FIJ
Will MacKenzie,62,71.859,286,62.6,64.7,-0.49,-0.177,-0.667,1289,2,1,2008,911194,USA
Woody Austin,109,70.874,285.3,66.19,68.15,0.003,0.628,0.631,11067,6,0,2008,2146431,USA
Y.E. Yang,89,71.476,286.9,63.43,65.96,-0.097,-0.299,-0.397,1701,1,0,2008,461726,KOR
Zach Johnson,85,70.597,275.1,73.73,67.59,0.039,0.572,0.611,2968,3,1,2008,1615123,USA
�?ngel Cabrera,55,71.083,300.2,51.11,62.64,-0.26,0.223,-0.037,10088,1,0,2008,868182,ARG
Aaron Baddeley,66,71.153,287.8,56.48,59.57,0.604,-0.755,-0.151,431,2,0,2009,837065,AUS
Adam Scott,53,71.72,294.9,58.77,62.82,-0.881,0.22,-0.66,432,1,0,2009,783138,AUS
Alex Cejka,82,70.98,281.2,69.8,66.52,-0.322,0.555,0.233,416,3,0,2009,953664,GER
Andres Romero,58,71.462,298.5,51.62,64.91,-0.044,-0.247,-0.291,329,2,0,2009,789305,ARG
Anthony Kim,76,70.507,299,53.65,62.69,0.245,0.235,0.479,1420,3,0,2009,1972155,USA
Aron Price,89,71.329,279.6,63.82,65.71,0.109,-0.676,-0.567,317,1,0,2009,487454,AUS
Bart Bryant,58,71.177,274.6,71.9,62.76,-0.142,-0.365,-0.507,227,1,0,2009,326590,USA
Ben Crane,93,70.376,285,67.75,64.87,0.431,0.344,0.775,996,4,0,2009,1667085,USA
Ben Curtis,63,70.978,279.5,64.75,64.25,0.766,-0.515,0.251,491,1,0,2009,799524,USA
Bill Haas,91,70.53,298.3,62.81,67.37,0.036,0.42,0.455,1362,4,0,2009,1425418,USA
Bill Lunde,83,70.623,292.4,64,67.01,0,0.157,0.158,444,2,0,2009,825691,USA
Billy Mayfair,83,71.952,284.2,70.01,66.33,-0.91,0.02,-0.89,225,1,0,2009,392068,USA
Bo Van Pelt,100,70.357,292.5,65.62,66.73,0.275,0.426,0.701,1195,5,1,2009,1945307,USA
Bob Estes,78,70.568,282.6,67.99,64.25,0.313,0.215,0.528,824,2,0,2009,1079929,USA
Bob Heintz,59,71.07,283.5,66.01,64.65,0.601,-0.581,0.02,144,1,0,2009,312699,USA
Boo Weekley,79,70.427,291.7,68.37,66.81,-0.528,1.033,0.505,802,1,0,2009,1107448,USA
Brad Adamonis,70,71.574,289,57.04,62.99,0.066,-0.537,-0.471,253,1,0,2009,333971,USA
Brandt Snedeker,81,70.474,277.3,69.95,63.92,0.761,0.063,0.823,1435,5,0,2009,1483557,USA
Brendon Todd,53,72.758,276.2,62.03,61.44,-0.051,-1.447,-1.498,154,0,0,2009,203841,USA
Brendon de Jonge,90,71.225,290.3,61.86,66.67,-0.217,-0.019,-0.236,315,2,0,2009,536696,ZIM
Brett Quigley,92,70.833,287.5,58.92,66.01,-0.193,0.306,0.113,812,3,0,2009,1412780,USA
Brian Davis,103,70.688,283.3,66.91,64.65,0.001,0.295,0.297,1045,4,0,2009,1874318,ENG
Brian Gay,96,70.4,268.5,72.24,62.44,0.726,-0.095,0.632,573,4,2,2009,3201295,USA
Brian Vranesh,51,71.782,288.2,63.51,63.83,-0.109,-0.752,-0.861,111,1,0,2009,198567,USA
Briny Baird,89,70.641,282.1,67.15,68.95,-0.337,0.666,0.329,733,3,0,2009,1186982,USA
Bryce Molder,69,70.208,283.1,66,67.12,0.747,-0.214,0.533,894,3,0,2009,1381211,USA
Bubba Watson,73,70.61,311.4,53.05,64.23,0.08,0.469,0.548,1140,2,0,2009,1430244,USA
Cameron Beckman,87,70.868,287,62.2,65.53,-0.009,0.018,0.009,521,2,0,2009,726705,USA
Camilo Villegas,76,70.29,293,61.31,66.67,-0.203,1.028,0.825,1336,4,0,2009,1804981,COL
Carl Pettersson,86,71.544,288.6,57.55,62.53,0.321,-0.893,-0.572,258,1,0,2009,564605,SWE
Casey Wittenberg,71,71.52,285,64.69,67.64,-0.431,-0.03,-0.461,211,1,0,2009,376076,USA
Chad Campbell,90,70.43,291,63.5,69.19,0.03,0.572,0.602,1043,3,0,2009,1725237,USA
Charles Howell III,99,70.459,292.7,58.87,67.09,-0.03,0.631,0.601,1202,3,0,2009,1804460,USA
Charles Warren,63,71.097,298.5,63.9,68.52,-0.286,0.453,0.167,330,0,0,2009,475726,USA
Charley Hoffman,97,70.438,300.8,57.59,66.78,0.096,0.513,0.609,1393,4,0,2009,1894925,USA
Charlie Wi,92,70.657,284.9,66.9,64.73,0.488,-0.16,0.329,1101,3,0,2009,1375096,KOR
Chez Reavie,81,71.361,279.6,70.19,65.95,-0.195,-0.047,-0.241,240,1,0,2009,477766,USA
Chris DiMarco,97,70.688,279.5,66.8,64.58,-0.116,0.254,0.138,391,0,0,2009,584075,USA
Chris Riley,77,70.535,278.5,71.49,64.79,0.346,0.14,0.486,489,1,0,2009,630417,USA
Chris Stroud,88,70.748,290.7,63.73,68.72,-0.092,0.098,0.007,379,2,0,2009,735019,USA
Cliff Kresge,78,70.961,280.5,65.33,63.81,0.033,-0.04,-0.007,319,1,0,2009,464401,USA
Colt Knost,71,71.67,279.6,69.83,66.23,0.076,-0.877,-0.801,127,0,0,2009,180754,USA
Corey Pavin,73,70.84,259,70.95,62.99,0.429,-0.478,-0.049,334,0,0,2009,474526,USA
D.A. Points,99,70.931,281.3,68.36,66.25,0.003,0.295,0.298,808,4,0,2009,1320021,USA
D.J. Trahan,96,70.877,289.2,67.19,70.37,-0.419,0.643,0.224,549,3,0,2009,1078256,USA
Daniel Chopra,89,71.372,297.1,57.37,63.11,0.302,-0.319,-0.017,549,2,0,2009,814331,SWE
Darron Stiles,52,71.853,279.8,71.3,65.63,-0.655,0.187,-0.467,169,1,0,2009,199385,USA
David Duval,56,72.303,292.7,50.9,60.91,-0.126,-1.602,-1.728,274,1,0,2009,623824,USA
David Mathis,82,71.304,280.8,62.37,63.08,0.349,-0.666,-0.317,377,0,0,2009,364959,USA
David Toms,98,69.73,284.2,73.26,68.32,0.093,1.057,1.15,608,7,0,2009,3047198,USA
Davis Love III,89,70.55,299.9,58.97,66.92,-0.274,0.758,0.485,1166,2,0,2009,1622401,USA
Dean Wilson,81,71.117,270.3,64.33,65.01,0.351,-0.331,0.02,291,0,0,2009,442600,USA
Derek Fathauer,63,72.439,286.4,56.62,60.33,-0.345,-1.085,-1.43,83,0,0,2009,125305,USA
Dustin Johnson,85,70.414,308.3,55.4,66.07,0.031,0.822,0.853,700,5,1,2009,2977901,USA
Eric Axley,71,73.114,282.8,50.97,57.3,0.341,-2.498,-2.157,70,0,0,2009,83152,USA
Ernie Els,70,70.212,291.2,64.87,66.08,-0.394,1.315,0.921,690,7,0,2009,2147157,RSA
Fred Couples,54,70.664,297.5,55.91,67.08,-0.342,0.81,0.468,709,4,0,2009,1197971,USA
Freddie Jacobson,83,70.617,284.1,58.78,63.31,0.516,-0.122,0.395,1087,3,0,2009,1189995,SWE
Gary Woodland,53,71.839,307.3,53.06,65.13,-0.541,-0.744,-1.285,68,0,0,2009,121031,USA
Geoff Ogilvy,78,70.316,291.5,58.4,64.27,0.493,0.568,1.06,713,5,2,2009,3866270,AUS
George McNeill,82,70.228,292,60.5,63.68,0.408,0.294,0.702,480,3,0,2009,1439220,USA
Glen Day,79,71.449,275,69.95,66.59,-0.35,-0.335,-0.685,273,0,0,2009,445720,USA
Greg Chalmers,85,70.507,284.2,63.74,65.51,0.698,-0.289,0.409,696,2,0,2009,1058286,AUS
Greg Kraft,51,72.654,273.1,63.58,62.65,-0.471,-1.038,-1.509,112,0,0,2009,156686,USA
Greg Owen,97,70.711,292.1,67.31,70.41,-0.439,0.676,0.237,756,1,0,2009,763517,ENG
Harrison Frazar,93,70.538,301,54.32,65.67,0.322,-0.012,0.311,483,1,0,2009,738615,USA
Heath Slocum,95,70.612,287,71.99,67.58,-0.426,0.523,0.097,1855,4,1,2009,2195565,USA
Hunter Mahan,94,69.691,297,65.19,68.36,0.41,0.845,1.255,515,6,0,2009,2941349,USA
Ian Poulter,59,70.101,282.8,65.18,61.01,0.094,1.112,1.206,1532,5,0,2009,2431001,ENG
J.B. Holmes,74,71.523,304.6,48.02,61.19,-0.73,0.276,-0.453,843,2,0,2009,1219534,USA
J.J. Henry,97,70.362,293.7,61.3,68.1,0.114,0.238,0.352,709,3,0,2009,1161641,USA
James Nitties,86,70.637,291.5,62.62,63.35,0.238,-0.156,0.082,560,2,0,2009,931532,AUS
Jarrod Lyle,65,71.423,287.3,61.59,65.11,-0.415,-0.168,-0.584,180,1,0,2009,275195,AUS
Jason Bohn,88,70.847,285.1,70.45,69.63,-0.381,0.679,0.298,876,2,0,2009,1159936,USA
Jason Day,61,70.132,295.3,60.22,64.78,0.5,0.37,0.871,1213,2,0,2009,1251219,AUS
Jason Dufner,90,70.307,286.2,67.28,66.93,-0.028,0.652,0.624,855,6,0,2009,2190792,USA
Jason Gore,74,71.693,290.7,66.15,65.62,-0.617,0,-0.618,197,2,0,2009,408811,USA
Jay Williamson,69,71.458,283.5,69.61,70.49,-0.895,0.158,-0.737,172,0,0,2009,240574,USA
Jeff Klauk,97,70.777,280.9,71.19,66.37,0.453,-0.153,0.3,645,3,0,2009,1243696,USA
Jeff Maggert,79,71.169,288.9,68.31,68.21,-0.3,0.053,-0.247,363,2,0,2009,651384,USA
Jeff Overton,92,70.72,293.9,53.87,61.43,0.125,-0.047,0.078,880,3,0,2009,1193346,USA
Jeff Quinney,78,71.415,273.4,67.68,63.39,0.217,-0.45,-0.233,425,2,0,2009,718950,USA
Jerry Kelly,90,70.119,284.7,64.8,64.63,0.327,0.453,0.78,570,6,1,2009,2562648,USA
Jim Furyk,86,69.477,279.9,69.66,65.53,0.715,0.975,1.69,2438,11,0,2009,3946515,USA
Jimmy Walker,74,71.379,291,53.59,63.24,-0.103,-0.067,-0.17,284,2,0,2009,662683,USA
Joe Durant,62,71.25,279.5,74.09,70.58,-0.779,0.475,-0.304,206,1,0,2009,250720,USA
Joe Ogilvie,85,70.992,291.4,57.52,62.32,0.546,-0.455,0.091,377,1,0,2009,613700,USA
John Mallinger,90,70.73,279.1,68.82,64.79,0.08,0.278,0.358,1037,4,0,2009,1717140,USA
John Merrick,91,70.936,296.9,61.47,64.93,-0.016,-0.248,-0.264,762,4,0,2009,1438892,USA
John Rollins,92,71.243,296.5,65.85,64.2,-0.001,0.012,0.011,1266,4,1,2009,2269475,USA
John Senden,100,70.057,294.2,64.83,70.89,0.038,1.021,1.06,560,7,0,2009,2305492,AUS
Johnson Wagner,81,71.312,288.4,64.42,65.64,0.04,-0.179,-0.139,268,1,0,2009,434571,USA
Jonathan Byrd,89,70.662,295.9,66.3,70.59,-0.434,1.067,0.633,888,2,0,2009,1316771,USA
Justin Leonard,95,70.094,283.5,68.81,67.03,0.087,0.865,0.951,1371,6,0,2009,2232378,USA
Justin Rose,71,70.389,288.1,64.8,65.95,0.111,0.395,0.506,704,2,0,2009,1125518,ENG
K.J. Choi,65,71.205,280.1,67.67,66.06,-0.051,0.214,0.163,492,1,0,2009,968506,KOR
Ken Duke,87,71.596,283.1,62.51,63.09,-0.475,0.06,-0.414,352,0,0,2009,382826,USA
Kenny Perry,92,69.789,293.1,67.01,67.34,0.268,0.938,1.206,1450,8,2,2009,4445562,USA
Kent Jones,73,71.489,281.3,69.28,65.56,-0.145,-0.539,-0.684,162,1,0,2009,301879,USA
Kevin Na,91,70.128,282.7,63.41,64.24,0.477,0.462,0.938,545,9,0,2009,2724825,USA
Kevin Stadler,65,70.732,290.3,62.3,66.86,-0.239,0.377,0.138,557,1,0,2009,925514,USA
Kevin Streelman,97,70.591,296.5,61.16,66.61,0.121,0.163,0.284,758,2,0,2009,1007444,USA
Kevin Sutherland,96,70.561,289.1,62.59,66.73,0.27,0.422,0.692,1276,2,0,2009,1218605,USA
Kirk Triplett,60,71.565,286.4,72.62,67.78,-0.84,0.268,-0.572,124,0,0,2009,155480,USA
Kris Blanks,60,71.457,291.4,66.53,66.26,-0.328,0.062,-0.266,202,1,0,2009,307130,USA
Lee Janzen,74,70.902,282,62.39,64.05,0.262,0.023,0.285,738,2,0,2009,871187,USA
Leif Olson,51,72.52,296.5,55.5,61.11,-0.24,-1.376,-1.616,73,1,0,2009,412966,USA
Lucas Glover,93,69.97,297.4,65.49,65.65,0.149,0.619,0.768,660,6,1,2009,3692580,USA
Luke Donald,79,70.012,275.7,62.5,63.01,0.934,0.135,1.069,458,6,0,2009,2174947,ENG
