NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
Mark Wilson,99,70.313,284.3,69.09,66.49,0.386,0.167,0.552,"1,438",3,1,2009,"$1,838,414",USA
Martin Laird,72,71.232,299.9,63.09,66.35,0.054,-0.109,-0.055,289,2,1,2009,"$1,349,354",SCO
Mathew Goggin,76,70.834,291.1,66.08,65.62,-0.273,0.26,-0.013,782,3,,2009,"$1,118,845",AUS
Matt Bettencourt,98,71.38,292.9,58.58,63.04,0.058,-0.57,-0.512,463,2,,2009,"$740,037",USA
Matt Jones,56,70.811,298,55.4,67.22,0.583,-0.202,0.381,353,2,,2009,"$593,313",AUS
Matt Kuchar,82,70.112,283.2,65.99,64.23,0.698,0.461,1.158,"1,364",5,1,2009,"$2,489,193",USA
Matt Weibring,65,70.825,288.7,64.88,65.63,-0.105,0.236,0.13,264,1,,2009,"$542,066",USA
Michael Allen,73,70.815,289.1,68.12,67.23,-0.048,0.515,0.467,440,1,,2009,"$741,066",USA
Michael Letzig,96,70.708,293.8,60.53,64.43,0.096,0.287,0.383,697,2,,2009,"$896,478",USA
Mike Weir,85,70.228,279.3,63.26,63.03,0.469,0.311,0.78,468,6,,2009,"$2,379,422",CAN
Nathan Green,104,71.185,283.5,60.66,62.89,0.375,-0.472,-0.097,910,1,1,2009,"$1,436,342",AUS
Nicholas Thompson,96,71.336,294.8,64.04,67.08,-0.468,0.366,-0.102,315,1,,2009,"$675,178",USA
Nick O'Hern,90,70.429,277,69.06,66.73,0.006,0.316,0.322,512,2,,2009,"$1,074,215",AUS
Nick Watney,86,70.071,305.3,57.81,66.09,0.237,0.876,1.113,748,4,1,2009,"$3,221,421",USA
Padraig Harrington,66,70.229,285.8,55.12,61.2,0.477,0.733,1.21,"2,050",6,,2009,"$2,628,377",IRL
Parker McLachlin,71,72.431,279.5,54.29,58.37,0.617,-1.76,-1.143,173,,,2009,"$275,033",USA
Pat Perez,74,70.864,288.5,62.89,63.12,0.534,-0.09,0.445,"1,233",2,1,2009,"$1,720,360",USA
Patrick Sheehan,51,70.903,281,70.62,68.48,0.021,0.23,0.251,213,,,2009,"$283,119",USA
Paul Goydos,79,70.683,275.8,69.02,63.42,0.135,0.414,0.55,"1,120",4,,2009,"$1,619,918",USA
Peter Lonard,86,71.766,279.5,66.52,64.84,-0.47,-0.469,-0.939,182,,,2009,"$333,825",AUS
Peter Tomasulo,61,72.261,293,63.87,64.65,-0.619,-0.467,-1.086,89,,,2009,"$128,706",USA
Phil Mickelson,66,70.218,300.1,52.21,64.29,-0.146,0.963,0.816,"2,920",7,3,2009,"$5,332,755",USA
Retief Goosen,74,69.961,292.3,59.59,62.33,0.47,0.541,1.011,640,5,1,2009,"$3,232,650",RSA
Rich Beem,77,71.035,284.7,64.05,68.44,-0.033,-0.227,-0.26,347,1,,2009,"$676,899",USA
Richard Johnson,85,71.139,274,68.63,65.41,0.332,-0.737,-0.405,599,2,,2009,"$687,077",WAL
Rick Price,54,72.515,278.6,67.47,66.32,-0.807,-0.711,-1.518,43,,,2009,"$66,689",USA
Ricky Barnes,67,71.371,292.6,58.3,68.17,-1.216,0.248,-0.968,300,1,,2009,"$684,863",USA
Robert Allenby,71,70.067,293.1,66.94,68.1,-0.631,1.619,0.987,"1,326",3,,2009,"$1,890,946",AUS
Robert Garrigus,83,70.814,312,56.86,70.53,-0.365,0.375,0.01,433,1,,2009,"$657,204",USA
Rocco Mediate,79,71.093,283.1,64.18,65.63,-0.521,0.69,0.17,327,1,,2009,"$484,757",USA
Rod Pampling,72,70.607,288.1,63.81,65.88,0.127,0.557,0.684,592,3,,2009,"$956,897",AUS
Rory Sabbatini,81,70.544,293.2,57.89,65.56,-0.322,1.035,0.713,"1,426",4,1,2009,"$2,752,291",RSA
Ryan Moore,89,70.598,295.9,65.46,66.14,0.347,0.097,0.444,"1,215",6,1,2009,"$2,222,871",USA
Ryan Palmer,78,71.491,297.1,61.23,65.38,0.188,-0.561,-0.373,324,1,,2009,"$454,510",USA
Ryuji Imada,85,71.107,278.4,61.62,61.44,0.442,-0.457,-0.015,504,,,2009,"$706,394",JPN
Scott McCarron,91,70.753,284.7,73.32,65.38,0.473,-0.176,0.298,719,3,,2009,"$980,819",USA
Scott Piercy,85,70.957,300.6,55.76,66.19,0.069,0.127,0.196,683,2,,2009,"$1,032,716",USA
Scott Sterling,51,70.683,285,63.87,68.6,0.075,0.216,0.291,258,,,2009,"$318,597",USA
Scott Verplank,88,70.037,281.1,71.4,67,0.031,0.856,0.887,"1,245",6,,2009,"$2,092,114",USA
Sean O'Hair,80,69.947,293.3,61.6,67.84,-0.127,1.297,1.17,"2,200",9,1,2009,"$4,316,493",USA
Sergio Garcia,59,70.056,298.5,59.61,65.61,-0.065,0.828,0.763,"1,379",3,,2009,"$1,212,522",ESP
Spencer Levin,75,70.813,279,62.13,67.37,0.4,-0.244,0.156,295,1,,2009,"$531,240",USA
Stephen Ames,77,70.248,287.4,65.23,67.7,0.436,0.318,0.754,"1,102",5,1,2009,"$2,131,538",CAN
Steve Elkington,70,71.119,285.3,68.56,67.46,-0.069,0.24,0.171,194,,,2009,"$243,404",AUS
Steve Flesch,77,71.055,284.4,63.01,66.67,-0.292,0.18,-0.112,389,2,,2009,"$668,052",USA
Steve Lowery,83,71.564,290.6,65.54,64.12,0.079,-0.601,-0.523,262,,,2009,"$329,114",USA
Steve Marino,98,69.903,295.7,63.41,68.26,0.11,0.91,1.02,698,5,,2009,"$2,161,539",USA
Steve Stricker,81,69.286,286.1,66.82,66.67,0.207,1.621,1.828,"2,750",11,3,2009,"$6,332,636",USA
Stewart Cink,79,70.465,294.7,58.58,63.47,0.34,-0.054,0.287,505,4,1,2009,"$2,821,030",USA
Stuart Appleby,79,71.43,290.1,59.1,63.18,-0.658,0.173,-0.486,302,1,,2009,"$562,837",AUS
Tag Ridings,50,70.696,307.4,56.14,66.41,-0.225,0.461,0.236,220,1,,2009,"$363,597",USA
Ted Purdy,101,70.827,293.6,64.05,66.25,0.077,-0.029,0.048,580,1,,2009,"$838,707",USA
Tiger Woods,64,68.052,298.4,64.29,68.46,0.877,2.311,3.189,"4,000",14,6,2009,"$10,508,163",USA
Tim Clark,81,69.658,280.1,74.06,66.95,0.276,0.985,1.261,"1,395",5,,2009,"$2,235,105",RSA
Tim Herron,87,70.86,292.1,58.28,63.92,-0.073,0.04,-0.033,421,,,2009,"$619,843",USA
Tim Petrovic,97,70.732,282.8,66.77,65.44,0.306,0.343,0.649,655,6,,2009,"$1,551,866",USA
Todd Hamilton,83,71.505,284.8,64.6,63.65,0.123,-0.612,-0.489,369,1,,2009,"$605,225",USA
Tom Lehman,55,70.661,272.2,70.52,68.95,-0.531,0.889,0.358,285,1,,2009,"$515,450",USA
Tom Pernice Jr.,82,71.127,281.9,64.29,64.77,-0.017,-0.048,-0.064,255,2,,2009,"$536,598",USA
Tommy Armour III,58,71.227,287.3,68.61,67.05,-0.2,0.279,0.079,302,1,,2009,"$503,306",USA
Troy Matteson,95,70.762,301.7,60.03,68.38,0.025,0.219,0.243,754,1,1,2009,"$1,466,070",USA
Vaughn Taylor,88,70.818,283.1,66.61,64.95,0.339,-0.376,-0.037,416,2,,2009,"$1,178,282",USA
Vijay Singh,71,70.662,293.9,60.89,66.18,-0.657,0.777,0.12,719,3,,2009,"$1,276,815",FIJ
Webb Simpson,94,70.875,286.2,59.57,62.59,0.555,-0.38,0.175,986,4,,2009,"$1,249,674",USA
Will MacKenzie,69,71.742,289.4,66.08,67.87,-0.991,0.397,-0.594,292,2,,2009,"$659,686",USA
Woody Austin,84,70.527,286.9,63.76,65.34,0.019,0.533,0.552,892,3,,2009,"$1,137,331",USA
Y.E. Yang,83,70.46,291.3,60.56,66.17,-0.065,0.448,0.383,565,4,2,2009,"$3,489,516",KOR
Zach Johnson,94,69.601,281.2,71.47,67.81,0.38,1.165,1.545,"2,073",9,2,2009,"$4,714,813",USA
�?ngel Cabrera,55,70.175,304.1,51.46,62.35,0.172,0.372,0.544,558,3,1,2009,"$2,625,472",ARG
Aaron Baddeley,94,70.995,298.9,56.65,64.6,0.509,-0.294,0.208,559,2,,2010,"879,317",AUS
Adam Scott,70,70.468,294.4,62.93,69.61,-0.746,1.609,0.862,640,4,1,2010,"2,489,402",AUS
Alex Cejka,81,71.219,277.4,70.31,66.6,-0.466,0.396,-0.073,489,4,,2010,"904,253",GER
Alex Prugh,88,70.878,295.7,58.4,68.6,0.202,-0.112,0.092,526,4,,2010,"1,272,606",USA
Andres Romero,73,70.986,296,55.05,65.07,0.254,-0.118,0.136,853,2,,2010,"979,170",ARG
Andrew McLardy,52,72.217,289.9,61.43,65.97,-0.172,-0.832,-1.005,23,,,2010,"53,106",RSA
Aron Price,70,70.856,284.6,67.23,70.49,0.017,0.241,0.259,358,3,,2010,"713,737",AUS
Ben Crane,85,70.234,282.3,71.13,68.22,0.266,0.594,0.862,550,5,1,2010,"2,841,500",USA
Ben Curtis,78,70.871,275.5,70.07,68.02,0.229,0.004,0.234,416,1,,2010,"812,136",USA
Bill Haas,87,70.308,293.3,64.17,69.92,-0.065,0.985,0.918,"1,565",4,2,2010,"2,905,136",USA
Bill Lunde,79,71.688,288.9,60.71,65.85,-0.012,-0.461,-0.466,449,3,1,2010,"1,075,874",USA
Billy Mayfair,78,71.426,284,70.29,69.68,-1.008,0.543,-0.467,314,2,,2010,"642,231",USA
Blake Adams,84,71.077,291.3,66.84,66.73,0.196,-0.432,-0.233,556,2,,2010,"963,593",USA
Bo Van Pelt,104,69.955,292,65.23,69.23,0.098,1.091,1.192,445,8,,2010,"3,336,258",USA
Bob Estes,79,71.086,283.9,61.41,67.79,0.014,-0.064,-0.048,432,2,,2010,"701,158",USA
Boo Weekley,88,70.851,291.9,67.14,70.07,-0.376,0.558,0.183,526,3,,2010,"872,729",USA
Brandt Snedeker,89,70.258,277.1,64.27,62.36,0.464,0.109,0.572,"1,470",5,,2010,"1,602,690",USA
Brenden Pappas,66,71.966,288.4,54.94,66.49,-0.091,-0.637,-0.731,89,,,2010,"133,584",RSA
Brendon de Jonge,114,70.344,286.9,65.51,70.07,0,0.757,0.762,"1,170",7,,2010,"2,167,978",ZIM
Brett Quigley,96,71.082,283.2,60.26,70.12,0.078,-0.014,0.065,336,1,,2010,"497,296",USA
Brett Wetterich,54,70.847,307.3,57.82,68.11,-0.126,0.23,0.107,248,1,,2010,"510,672",USA
Brian Davis,101,71.376,278.9,68.35,63.09,-0.249,0.067,-0.181,"1,149",2,,2010,"1,640,516",ENG
Brian Gay,101,70.756,266.4,74,63.44,0.73,-0.211,0.518,"1,142",2,,2010,"1,521,663",USA
Brian Stuard,81,71.595,286.9,63.09,65.04,0.289,-1.033,-0.746,226,1,,2010,"536,497",USA
Briny Baird,87,70.639,282,65.45,69.41,-0.026,0.188,0.169,458,1,,2010,"753,577",USA
Bryce Molder,84,70.403,278,63.16,65.28,0.476,0.034,0.507,"1,088",6,,2010,"1,428,438",USA
Bubba Watson,77,70.229,309.8,55.67,68.54,-0.077,0.77,0.695,600,4,1,2010,"3,198,998",USA
Cameron Beckman,68,71.395,285.7,63.72,66.15,-0.297,-0.253,-0.545,427,3,1,2010,"1,158,485",USA
Cameron Percy,73,71.622,294,58.93,70.42,-0.491,0.255,-0.236,206,1,,2010,"620,262",AUS
Cameron Tringale,55,71.598,294.5,58.71,70.18,-0.711,0.243,-0.465,107,,,2010,"302,618",USA
Camilo Villegas,78,70.425,289.6,61.66,66.05,-0.396,1.087,0.691,623,7,1,2010,"3,035,523",COL
Carl Pettersson,99,70.552,282.1,62.82,63.8,0.818,-0.263,0.554,"1,332",4,1,2010,"1,934,465",SWE
Chad Campbell,94,70.629,285.1,69.01,69.06,-0.106,0.75,0.645,598,2,,2010,"971,154",USA
Chad Collins,87,70.599,275.8,60.27,63.29,0.626,-0.483,0.143,540,3,,2010,"815,961",USA
Charles Howell III,103,70.292,294.3,54.58,68.57,0.452,0.329,0.784,764,6,,2010,"1,482,211",USA
Charles Warren,64,70.917,302.5,65.93,71.74,-0.411,0.521,0.109,116,3,,2010,"574,616",USA
Charley Hoffman,85,70.254,298.2,61.59,66.53,0.104,0.889,0.995,"2,500",5,1,2010,"2,559,646",USA
Charlie Wi,95,70.284,281.2,64.19,66.55,0.574,0.12,0.679,"1,560",4,,2010,"1,568,492",KOR
Chris Couch,66,70.948,292.4,65.87,66.5,0.302,0.002,0.307,709,2,,2010,"888,146",USA
Chris DiMarco,88,70.983,279,70.13,67.39,-0.058,0.115,0.052,286,1,,2010,"409,205",USA
Chris Riley,73,70.345,278.3,68.7,67.33,0.185,0.351,0.538,512,3,,2010,"1,001,582",USA
Chris Stroud,90,70.966,287.2,62.98,69.31,0.062,0.169,0.229,369,4,,2010,"942,082",USA
Chris Tidland,77,71.255,288.1,63.08,66.36,0.231,-0.239,-0.004,271,2,,2010,"588,291",USA
Cliff Kresge,50,71.417,283.2,68.59,66.67,-0.573,0.083,-0.488,91,,,2010,"199,584",USA
Craig Bowden,56,72.229,270,72.86,62.64,-0.404,-0.698,-1.104,79,,,2010,"140,935",USA
D.A. Points,90,70.958,283,64.52,67.9,-0.1,0.302,0.199,654,3,,2010,"975,433",USA
D.J. Trahan,92,70.661,301.1,61.4,71.26,-0.467,0.963,0.494,"1,195",7,,2010,"1,619,693",USA
Daniel Chopra,74,72.194,295.9,51.27,61.64,0.361,-1.461,-1.096,142,,,2010,"311,405",SWE
David Duval,71,71.688,286.9,57.08,66.1,0.12,-0.397,-0.278,431,2,,2010,"919,584",USA
David Lutterus,69,72.17,291.9,56.61,64.29,-0.33,-0.707,-1.044,103,,,2010,"123,170",AUS
David Toms,86,70.337,281.3,71.88,67.58,0.274,0.433,0.693,"1,118",2,,2010,"1,590,998",USA
Davis Love III,79,70.888,297.7,64.2,70.25,-0.51,0.68,0.173,708,3,,2010,"1,214,472",USA
Dean Wilson,54,70.223,281.6,67.37,68.98,0.781,-0.044,0.736,434,1,,2010,"832,640",USA
Derek Lamely,81,71.666,294,54.84,61.93,0.02,-0.611,-0.592,487,1,1,2010,"972,961",USA
Dustin Johnson,83,70.135,308.5,56.35,67.95,0.112,0.869,0.979,"2,493",7,2,2010,"4,473,122",USA
Ernie Els,72,69.843,288.4,60.16,67.86,0.33,0.992,1.322,"1,438",7,2,2010,"4,558,861",RSA
Freddie Jacobson,83,70.367,283.1,62.16,67.8,0.241,0.479,0.722,"1,101",3,,2010,"1,666,252",SWE
Garrett Willis,82,71.159,280.2,70.44,69.87,-0.137,0.085,-0.053,517,1,,2010,"871,763",USA
Garth Mulroy,53,72,295.6,60.7,70.07,-0.586,0.147,-0.436,160,1,,2010,"287,118",RSA
Geoff Ogilvy,62,70.764,287,57.94,67.69,0.37,0.364,0.735,753,2,1,2010,"2,393,045",AUS
George McNeill,79,71.207,293.4,54.34,66.03,0.319,-0.296,0.028,338,1,,2010,"664,854",USA
Graham DeLaet,88,70.645,305.7,64.74,71.27,-0.36,0.752,0.396,393,3,,2010,"954,011",CAN
Greg Chalmers,93,70.732,275.5,59.8,66.01,0.772,-0.424,0.354,"1,113",2,,2010,"989,415",AUS
Greg Kraft,52,73.07,273.2,62.5,60.63,-0.182,-1.856,-2.041,14,,,2010,"52,176",USA
Greg Owen,69,71.77,291.4,61.46,69,-0.641,-0.108,-0.745,184,,,2010,"268,835",ENG
Heath Slocum,97,70.673,278.9,72.42,69.59,-0.259,0.837,0.58,"1,222",5,1,2010,"2,387,687",USA
Henrik Bjornstad,72,71.722,288.1,64.74,69.11,-0.211,-0.416,-0.626,188,,,2010,"215,913",NOR
Hunter Mahan,85,70.476,291.8,67.94,68.65,0.068,0.596,0.665,678,3,2,2010,"3,574,550",USA
Ian Poulter,55,71.211,286.8,62.72,62.47,0.213,-0.542,-0.335,"1,396",2,1,2010,"2,079,664",ENG
J.B. Holmes,100,70.089,307.2,54.45,65.5,0.064,0.868,0.936,"1,501",3,,2010,"2,386,248",USA
J.J. Henry,92,70.772,292.8,65.07,68.72,0.217,0.141,0.36,603,2,,2010,"1,035,688",USA
J.P. Hayes,79,70.981,281,64.91,66,0.027,-0.057,-0.035,652,3,,2010,"862,523",USA
James Driscoll,78,70.954,293.9,56.96,66.81,0.315,-0.255,0.056,340,1,,2010,"500,625",USA
James Nitties,92,71.277,286.2,65.69,66.47,0.133,-0.388,-0.262,338,1,,2010,"525,034",AUS
Jarrod Lyle,54,70.835,296.2,63.4,65.34,0.049,-0.018,0.027,227,2,,2010,"422,760",AUS
Jason Bohn,84,70.856,279.8,66.89,67.79,0.13,0.303,0.43,"1,079",2,1,2010,"1,904,763",USA
Jason Day,82,70.274,298.2,57.78,67.68,-0.009,0.752,0.738,"1,660",5,1,2010,"2,904,327",AUS
Jason Dufner,87,71.018,281.9,69.24,66.67,-0.6,0.606,0.006,"1,000",2,,2010,"1,121,695",USA
Jay Williamson,76,71.29,285.1,69.87,68.95,-0.174,-0.066,-0.221,280,1,,2010,"404,498",USA
Jeev Milkha Singh,59,70.631,287.3,60.94,65.28,-0.045,0.165,0.118,253,1,,2010,"420,245",IND
Jeff Gove,57,72.401,288.7,62.96,69.72,-0.947,-0.212,-1.164,77,,,2010,"92,155",USA
Jeff Maggert,76,71.445,279.1,67.55,66.75,-0.357,-0.384,-0.741,463,2,,2010,"801,579",USA
Jeff Overton,89,70.497,297.3,55.44,66.86,0.409,0.222,0.63,480,6,,2010,"3,456,356",USA
Jeff Quinney,91,70.851,273.3,70.34,65.45,0.388,-0.427,-0.039,378,2,,2010,"605,866",USA
Jerod Turner,54,72.602,279,61.66,58.94,-0.002,-1.883,-1.885,57,,,2010,"91,343",USA
Jerry Kelly,99,70.954,279,70.5,67.49,-0.444,0.658,0.209,493,1,,2010,"1,136,898",USA
Jim Furyk,76,69.828,276,71.01,67.12,0.402,1.159,1.564,"2,980",7,3,2010,"4,809,622",USA
Jimmy Walker,82,70.953,292.9,51.29,65.88,0.252,-0.155,0.093,642,2,,2010,"937,987",USA
Joe Durant,67,70.365,285.6,75.94,71.95,-0.292,0.775,0.481,321,2,,2010,"788,755",USA
Joe Ogilvie,99,71.296,285.9,59.32,66.07,0.096,-0.338,-0.249,454,1,,2010,"641,797",USA
John Daly,63,71.697,305.7,52.21,65.66,-0.653,-0.335,-0.989,97,,,2010,"158,587",USA
John Mallinger,78,71.27,280.4,69.34,67.11,0.051,-0.228,-0.175,342,1,,2010,"684,687",USA
John Merrick,109,71.102,291.4,66.71,70.24,-0.126,0.144,0.019,459,1,,2010,"658,815",USA
John Rollins,81,70.728,295.5,64.58,68.18,-0.216,0.71,0.497,736,2,,2010,"1,182,736",USA
John Senden,103,70.618,290.2,67.22,72.49,-0.139,0.749,0.608,"1,192",2,,2010,"1,274,058",AUS
Johnson Wagner,85,71.113,282.4,62.59,68.24,0.065,-0.16,-0.095,197,2,,2010,"753,802",USA
Jonathan Byrd,85,70.437,290.9,61.54,70,0.029,0.491,0.524,483,4,1,2010,"1,534,981",USA
Josh Teater,101,71.116,293.1,63.69,68.8,-0.314,0.206,-0.109,754,2,,2010,"1,005,323",USA
Justin Bolli,55,72.881,281.8,66.28,64.85,-0.558,-1.361,-1.918,6,,,2010,"73,990",USA
Justin Leonard,89,70.419,277.8,69.46,65.09,0.181,0.356,0.539,"1,096",1,,2010,"1,026,445",USA
Justin Rose,78,69.885,287.8,65.17,66.31,0.243,0.952,1.195,718,4,2,2010,"3,603,331",ENG
K.J. Choi,82,70.099,283.1,65.99,68.52,0.054,0.927,0.984,718,4,,2010,"2,199,962",KOR
Kenny Perry,69,70.841,290.6,67.99,69.04,-0.244,0.645,0.401,565,1,,2010,"968,811",USA
Kevin Johnson,62,72.878,276.5,63.85,62.5,-0.35,-1.795,-2.147,53,,,2010,"69,806",USA
Kevin Na,94,70.314,278.6,66.46,65.89,0.493,0.362,0.854,570,4,,2010,"2,021,815",USA
Kevin Stadler,86,71.149,290.2,62.96,67.95,-0.275,0.055,-0.221,394,5,,2010,"931,720",USA
Kevin Streelman,90,70.727,290.3,65.64,66.67,0.044,0.086,0.13,583,5,,2010,"1,472,349",USA
Kevin Sutherland,86,70.604,287.9,66.89,71.96,-0.094,0.558,0.468,499,1,,2010,"818,682",USA
Kris Blanks,91,71.371,286.4,66.87,71.15,-0.568,0.408,-0.161,794,3,,2010,"1,109,178",USA
Lee Janzen,77,71.194,287.7,59.91,67.68,-0.302,0.101,-0.199,280,1,,2010,"603,195",USA
Lucas Glover,75,70.949,295.7,62.84,67.42,-0.115,0.416,0.297,770,3,,2010,"1,511,275",USA
Luke Donald,71,69.85,277,62.36,65.28,0.87,0.619,1.493,"2,700",7,,2010,"3,665,234",ENG
Marc Leishman,87,70.769,295,58.37,66.67,-0.146,0.563,0.418,"1,268",2,,2010,"1,488,837",AUS
Mark Calcavecchia,50,72.222,281,62.18,65.48,-0.871,-0.126,-0.996,88,,,2010,"119,980",USA
Mark Wilson,87,71.098,280.6,68.85,70.28,0.139,-0.134,0.009,343,2,,2010,"789,681",USA
Martin Flores,75,71.882,300.7,50.15,64.79,-0.106,-0.776,-0.883,137,1,,2010,"318,673",USA
Martin Laird,91,71.158,296.5,60.27,67.83,-0.304,0.448,0.145,"1,005",4,,2010,"2,137,928",SCO
Mathew Goggin,85,71.672,289.3,65.24,69.74,-0.377,-0.122,-0.501,267,1,,2010,"483,537",AUS
Mathias Grönberg,61,71.614,293.7,64.28,66.77,-0.184,-0.099,-0.286,198,1,,2010,"322,130",SWE
Matt Bettencourt,91,71.575,294,57.16,60.17,0.368,-0.853,-0.487,472,1,1,2010,"855,901",USA
Matt Every,60,70.986,290.9,62.06,64.75,0.24,-0.31,-0.073,322,1,,2010,"456,847",USA
Matt Jones,89,70.605,293.3,57.07,65.29,0.509,-0.02,0.495,"1,035",5,,2010,"1,215,743",AUS
Matt Kuchar,97,69.606,286.9,67.89,69.36,0.648,0.827,1.461,"2,728",11,1,2010,"4,910,477",USA
Michael Bradley,77,71.498,281.5,60.37,68.65,-0.084,-0.31,-0.392,306,,,2010,"360,845",USA
Michael Connell,89,70.9,281.3,63.4,66.94,0.337,-0.195,0.142,314,2,,2010,"846,459",USA
Michael Letzig,84,70.951,289.7,63.47,67.92,-0.071,0.112,0.029,415,1,,2010,"563,729",USA
Michael Sim,64,70.896,283.3,63.35,65.34,0.518,-0.283,0.235,"1,244",3,,2010,"1,338,926",AUS
Mike Weir,59,71.571,273.9,53.83,57.89,-0.018,-0.221,-0.241,360,1,,2010,"559,092",CAN
Nathan Green,86,71.421,279.5,61,63.18,0.339,-0.592,-0.254,414,1,,2010,"636,180",AUS
Nicholas Thompson,88,71.815,289.2,64.04,67.86,-0.885,0.011,-0.875,284,1,,2010,"546,476",USA
Nick Watney,91,70.291,296.5,62.63,69.63,0.09,0.806,0.915,880,8,,2010,"2,536,714",USA
Omar Uresti,74,71.579,272,76.08,68.22,-0.757,0.243,-0.512,192,1,,2010,"283,455",USA
Padraig Harrington,57,70.174,292.1,56.7,61.9,0.267,0.799,1.063,772,5,,2010,"1,381,453",IRL
Pat Perez,90,70.593,287.1,65.23,68.95,0.379,0.193,0.572,581,3,,2010,"947,588",USA
Paul Casey,64,69.72,294.2,61.31,68.68,0.812,0.587,1.411,"2,250",7,,2010,"3,613,194",ENG
Paul Goydos,78,71.532,273.6,70.58,65.95,-0.158,-0.175,-0.331,602,3,,2010,"1,121,250",USA
Paul Stankowski,62,70.354,290.3,65.38,70.88,0.332,0.233,0.561,296,2,,2010,"666,591",USA
Phil Mickelson,76,69.966,299.1,52.66,65.13,-0.147,1.151,1.001,843,6,1,2010,"3,821,733",USA
Retief Goosen,75,69.718,291.4,64.79,65.96,0.679,0.917,1.598,"1,360",10,,2010,"3,218,089",RSA
Rich Barcelo,70,71.751,287.6,52.8,61.72,0.144,-0.668,-0.52,187,,,2010,"188,892",USA
Richard Johnson,90,71.156,277.3,70.92,68.5,0.188,-0.486,-0.293,323,2,,2010,"678,515",SWE
Rickie Fowler,98,70.429,292.7,64.19,69.9,0.129,0.665,0.793,"1,564",7,,2010,"2,857,108",USA
Ricky Barnes,103,70.47,285.5,58.37,68.23,0.021,0.58,0.604,"1,027",6,,2010,"1,835,195",USA
Robert Allenby,76,70.131,289.1,64.75,68.17,0.137,1.014,1.156,500,5,,2010,"2,974,997",AUS
Robert Garrigus,71,71.264,315.5,55.73,67.61,-0.164,-0.09,-0.269,469,3,1,2010,"1,583,275",USA
Rocco Mediate,71,71.341,278.1,68.27,69.32,-0.543,0.378,-0.164,150,1,1,2010,"1,138,067",USA
Rod Pampling,77,71.501,283.5,65.45,64.94,-0.247,-0.067,-0.314,275,,,2010,"299,264",AUS
Roger Tambellini,77,71.969,292,62.57,69.73,-0.789,-0.151,-0.925,219,1,,2010,"370,736",USA
Roland Thatcher,72,71.82,288,60.04,65.9,-0.384,-0.408,-0.788,142,2,,2010,"796,157",USA
Rory McIlroy,54,70.351,300,62.64,66.24,-0.225,0.944,0.714,"1,489",5,1,2010,"2,554,280",NIR
Rory Sabbatini,79,71.366,289.1,60.28,66.74,-0.202,0.358,0.16,"1,197",3,,2010,"1,546,808",RSA
Ryan Moore,80,70.623,289.7,67.99,66.67,0.299,0.385,0.687,613,6,,2010,"2,374,823",USA
Ryan Palmer,84,70.824,295.8,57.23,65.48,0.433,-0.139,0.294,595,5,1,2010,"2,985,296",USA
Ryuji Imada,90,70.753,278.7,63.11,64.51,0.551,-0.265,0.286,720,4,,2010,"1,028,869",JPN
Scott McCarron,90,70.94,288.6,67.36,65.8,0.507,-0.357,0.155,354,1,,2010,"642,543",USA
Scott Piercy,88,71.196,296.8,56.03,67.74,0.215,-0.22,-0.004,380,2,,2010,"676,432",USA
Scott Verplank,74,70.838,278.6,68.16,63.85,0.034,0.323,0.36,813,3,,2010,"1,653,190",USA
Sean O'Hair,84,70.603,289.3,63.98,68.22,-0.071,0.697,0.615,"1,206",3,,2010,"1,859,040",USA
Sergio Garcia,58,71.076,292.7,63.75,66.13,-0.36,0.424,0.068,461,1,,2010,"936,845",ESP
Shaun Micheel,70,70.499,283.2,62.67,64.61,0.235,0.251,0.487,600,3,,2010,"1,025,500",USA
Skip Kendall,58,71.64,279.5,69.63,62.56,0.333,-1.168,-0.832,159,1,,2010,"304,439",USA
Spencer Levin,110,70.385,280.6,65.12,69.88,0.132,0.433,0.564,673,3,,2010,"1,199,672",USA
Stephen Ames,75,70.639,282,66.47,67.79,0.375,0.186,0.553,866,1,,2010,"916,527",CAN
Steve Elkington,74,70.318,289.2,68.01,68.71,0.328,0.226,0.557,571,3,,2010,"955,084",AUS
Steve Flesch,78,72.041,277.4,66.02,62.76,-0.078,-0.57,-0.651,272,1,,2010,"440,374",USA
Steve Lowery,67,72.202,286.2,61.9,65.52,-0.386,-0.794,-1.177,67,,,2010,"118,602",USA
Steve Marino,81,70.875,290.6,61.96,67.49,0.261,0.307,0.567,778,3,,2010,"1,479,239",USA
Steve Stricker,73,69.66,282.9,68.5,68.29,0.437,1.383,1.818,"2,028",9,2,2010,"4,190,235",USA
Steve Wheatcroft,74,71.53,287.1,64.12,63.47,0.211,-0.833,-0.626,213,1,,2010,"408,595",USA
Stewart Cink,84,70.431,292.4,63.98,68.61,0.19,0.628,0.827,"1,448",3,,2010,"1,573,636",USA
Stuart Appleby,101,70.954,289,59.75,61.84,-0.056,0.189,0.13,"1,157",3,1,2010,"1,965,825",AUS
Ted Purdy,86,71.824,290.8,60.61,63.96,-0.114,-0.784,-0.892,244,,,2010,"307,677",USA
Tim Clark,88,70.246,272.2,73.72,66.73,0.269,0.564,0.832,593,7,1,2010,"3,530,002",RSA
